country,mae,rmse,mape,r2,n_samples
Afghanistan,0.53,0.53,,0.0,65
Africa,66.99,138.51,89.93,-1.2826,65
Albania,0.52,0.52,,0.0,65
Algeria,3.21,8.27,84.24,-0.9507,65
American Samoa,1.21,1.21,,0.0,65
Andorra,0.58,0.58,,0.0,65
Angola,1.99,2.92,57.81,-3.1487,65
Anguilla,0.39,0.39,,0.0,65
Antigua and Barbuda,0.08,0.08,,0.0,65
Argentina,33.15,40.98,78.47,-0.2242,65
Armenia,4.79,12.26,97.21,-0.6045,65
Aruba,0.44,0.44,,0.0,65
Asia,1757.21,2683.41,89.95,-0.4204,75
Australia,226.19,226.19,,0.0,65
Austria,5.83,6.22,69.54,-1.3877,65
Azerbaijan,10.8,22.06,88.95,-0.8622,65
Bahamas,16.53,36.57,98.17,-1.1888,65
Bahrain,0.98,0.98,,0.0,65
Bangladesh,29.01,54.32,94.96,-0.8142,65
Barbados,13.45,24.17,87.33,-1.7538,65
Belarus,6.9,6.9,,0.0,65
Belgium,310.17,609.57,97.86,-1.1491,65
Belize,0.33,0.36,73.63,-0.827,65
Benin,0.37,0.37,,0.0,65
Bermuda,0.37,0.37,,0.0,65
Bhutan,0.23,0.23,,0.0,65
Bolivia,1.53,1.54,38.97,-30.5864,65
Bonaire Sint Eustatius and Saba,0.09,0.09,,0.0,65
Bosnia and Herzegovina,1.0,1.71,69.17,-1.3019,65
Botswana,7.47,12.47,87.15,-3.8526,65
Brazil,24.0,24.0,,0.0,65
British Virgin Islands,2.81,6.24,97.59,-0.9119,65
Brunei,108.96,206.01,98.2,-1.8098,65
Bulgaria,17.91,41.58,82.03,-0.2507,65
Burkina Faso,1.07,2.63,49.52,-7.7877,65
Burundi,1.25,1.25,,0.0,65
Cambodia,5.29,11.53,97.24,-0.9134,65
Cameroon,8.79,9.59,595.31,-219.3133,65
Canada,192.07,378.14,97.66,-1.5234,65
Cape Verde,0.35,0.35,,0.0,65
Cayman Islands,3.34,3.34,,0.0,65
Central African Republic,0.32,0.65,75.34,-26.7465,65
Chad,2.17,2.17,,0.0,65
Chile,28.83,42.25,82.85,-1.5511,65
China,381.86,612.54,86.96,-0.2111,65
Colombia,168.91,346.34,97.44,-0.8875,65
Comoros,0.04,0.04,,0.0,65
Congo,2.59,2.67,121.41,-11.7471,65
Cook Islands,0.77,2.15,76.85,-0.4913,65
Costa Rica,44.4,104.13,97.97,-1.2611,65
Cote d'Ivoire,0.24,0.4,87.51,-0.2429,65
Croatia,1.6,1.6,,0.0,65
Cuba,1.72,1.72,,0.0,65
Curacao,0.3,0.3,,0.0,65
Cyprus,151.45,336.7,98.4,-0.9118,65
Czechia,68.87,142.0,92.72,-0.9703,73
Democratic Republic of Congo,14.09,27.57,97.38,-3.8954,65
Denmark,18.4,37.85,91.74,-0.8356,65
Djibouti,0.06,0.06,,0.0,65
Dominica,1.77,1.77,,0.0,65
